x,y
48.207,1
-6.349,1
36.584,1
17.799,1
85.771,1
101.861,1
65.203,1
86.657,1
1.699,1
18.699,1
12.435,1
48.212,1
42.847,1
63.414,1
93.823,1
95.601,1
20.480,1
83.974,1
81.304,1
-7.067,0
-78.612,0
-8.852,0
-91.146,0
26.926,0
-33.900,0
-10.647,0
-28.534,0
-57.157,0
-16.012,0
-34.798,0
-16.012,0
59.120,0
-134.959,0
-60.731,0
-81.293,0
-50.891,0
-64.303,0
-102.765,0
-44.633,0
-68.774,0
-10.645,0
-81.292,0
-83.987,0
-108.127,0
20.663,0
-62.521,0
-73.253,0
-58.942,0
-36.582,0
-68.778,0
-29.426,0
-52.684,0
-47.319,0
-138.538,0
-100.072,0
-129.592,0
-52.681,0
-15.115,0
-55.367,0
28.711,0
-50.896,0
-50.893,0
-9.750,0
-110.819,0
-96.500,0
32.290,0
-97.394,0
-11.538,0
-59.847,0
-113.504,0
27.818,0
-44.631,0
-39.269,0
11.718,0
-51.789,0
-2.595,0
-89.351,0
-54.470,0
-70.572,0
1.878,0
-111.709,0
-122.441,0
-103.661,0
-99.185,0
-50.902,0
14.401,0
-14.226,0
-22.272,0
-83.090,0
-21.378,0
-114.385,0
-46.428,0
-24.060,0
-97.401,0
-50.897,0
-82.184,0
-45.531,0
-4.385,0
-66.994,0
-58.945,0
-24.060,0
-80.412,0
-24.061,0
-15.119,0
30.501,0
-66.998,0
-23.167,0
-67.889,0
-89.357,0
-82.196,0
-115.284,0
-92.031,0
36.758,0
-76.830,0
-104.548,0
-47.316,0
-58.048,0
-40.161,0
-59.839,0
-22.276,0
0.089,0
-28.536,0
-105.448,0
-92.027,0
-22.275,0
-50.900,0
-87.557,0
-57.157,0
-110.807,0
-95.613,0
-45.529,0
-95.607,0
-46.422,0
-25.849,0
-90.241,0
-75.937,0
-107.225,0
-60.736,0
8.139,0
-114.393,0
-97.400,0
-132.281,0
37.649,0
-92.038,0
-0.803,0
-101.867,0
-84.880,0
-35.689,0
-82.198,0
-97.396,0
-38.371,0
-16.010,0
-70.555,0
-58.946,0
-96.505,0
-106.336,0
-41.058,0
79.692,0
-50.887,0
-58.053,0
-45.527,0
-55.366,0
-45.529,0
-29.426,0
4.560,0
-43.742,0
30.499,0
29.603,0
-60.729,0
-24.060,0
-98.291,0
-10.641,0
-66.102,0
-136.747,0
-42.846,0
-126.018,0
-6.170,0
-52.687,0
-71.467,0
-77.727,0
-77.729,0
-109.030,0
-42.846,0
-90.239,0
-35.695,0
-149.282,0
-61.625,0
1.878,0
-59.837,0
-72.359,0
-33.901,0
-32.112,0
-75.940,0
-89.353,0
-50.892,0
-47.320,0
-38.376,0
-108.131,0
-125.129,0
-51.788,0
-100.084,0
-23.171,0
-41.950,0
-76.827,0
-89.344,0
-39.264,0
-97.397,0
48.387,0
-9.750,0
-18.695,0
-83.090,0
-100.084,0
-130.497,0
-109.025,0
6.350,0
-54.474,0
-33.004,0
-91.134,0
-40.160,0
57.331,0
0.982,0
