x,y
0.088,0
-14.222,0
-94.717,0
-83.097,0
-100.973,0
-52.685,0
-81.292,0
0.089,0
-41.057,0
-15.116,0
-18.692,0
8.138,0
-13.326,0
11.711,0
21.555,0
-64.314,0
-67.880,0
-67.876,0
-53.579,0
19.767,0
-14.222,0
-83.983,0
-113.492,0
4.559,0
-128.700,0
13.506,0
-41.947,0
-50.000,0
34.079,0
-41.948,0
-19.588,0
-67.891,0
-50.897,0
-83.097,0
-74.149,0
-24.959,0
-115.288,0
-48.212,0
-66.996,0
-42.850,0
-51.791,0
-60.734,0
-131.389,0
-25.848,0
-64.315,0
-43.747,0
-94.712,0
-54.475,0
-57.151,0
17.976,0
-35.688,0
23.343,0
-34.794,0
-100.971,0
-57.157,0
-25.849,0
-58.937,0
-54.471,0
-25.850,0
-41.951,0
-90.242,0
-16.907,0
-41.952,0
-90.238,0
-122.431,0
-92.931,0
-41.054,0
-47.317,0
-64.313,0
-32.110,0
-91.135,0
-12.436,0
-95.613,0
14.402,0
30.495,0
-98.293,0
23.345,0
3.667,0
-13.327,0
-22.273,0
-70.566,0
7.245,0
-90.238,0
-24.953,0
-87.551,0
-24.953,0
-66.994,0
-56.256,0
-127.809,0
-138.549,0
-26.744,0
-144.808,0
-62.525,0
-12.432,0
-34.795,0
-75.929,0
18.872,0
-34.796,0
-70.571,0
-72.358,0
-35.686,0
-32.111,0
-81.301,0
-2.598,0
-23.167,0
2.770,0
-60.735,0
-30.321,0
-43.740,0
-23.166,0
-91.138,0
47.491,0
-109.921,0
-52.683,0
-49.999,0
-86.665,0
-92.930,0
-74.150,0
-113.496,0
11.717,0
-33.899,0
-58.052,0
-25.854,0
-58.950,0
-95.598,0
-26.742,0
-5.277,0
-81.300,0
-46.414,0
-57.155,0
-84.877,0
-7.066,0
-79.514,0
-50.897,0
-51.794,0
-24.061,0
-109.920,0
-97.397,0
-13.327,0
-84.878,0
-50.895,0
-45.528,0
-6.172,0
-34.794,0
-125.116,0
-75.931,0
-84.870,0
-90.244,0
-57.152,0
-85.768,0
17.082,0
-39.269,0
-93.817,0
-16.905,0
-37.477,0
-71.457,0
-13.328,0
-40.164,0
-129.592,0
-44.636,0
19.767,0
48.385,0
61.804,0
-36.581,0
31.394,0
2.771,0
2.771,0
-30.326,0
-102.764,0
-110.814,0
-25.850,0
-34.794,0
-77.726,0
-33.009,0
-92.033,0
-99.191,0
-7.067,0
-77.711,0
-33.900,0
17.084,0
-68.781,0
-158.232,0
-63.417,0
-54.470,0
-11.536,0
-79.512,0
26.030,0
-26.744,0
-21.377,0
-95.611,0
16.182,0
-171.642,0
41.233,0
-59.841,0
-67.886,0
-99.190,0
-63.410,0
17.086,0
-42.845,0
-74.150,0
-33.903,0
-92.036,0
30.500,0
-106.338,0
-71.461,0
-84.879,0
-33.900,0
-114.393,0
-47.320,0
-23.165,0
-82.185,0
-106.342,0
-52.691,0
-86.668,0
26.028,0
15.293,0
-99.183,0
0.086,0
-103.663,0
-80.408,0
-73.257,0
-123.339,0
-60.734,0
-145.692,0
-16.906,0
-156.440,0
-43.745,0
-71.467,0
-26.742,0
0.090,0
-41.948,0
-60.729,0
-29.426,0
-126.017,0
-22.271,0
-92.930,0
-77.725,0
-19.591,0
1.879,0
-92.026,0
-94.711,0
5.458,0
-43.741,0
-34.796,0
-71.466,0
3.667,0
9.034,0
-126.008,0
-43.738,0
-12.437,0
43.019,0
-129.590,0
-65.204,0
-56.258,0
-69.668,0
-95.608,0
-5.278,0
-41.055,0
-36.583,0
-80.409,0
-25.851,0
-100.968,0
-91.133,0
-63.419,0
-49.998,0
-49.109,0
13.506,0
-71.468,0
-26.744,0
-16.905,0
-35.688,0
-107.236,0
-92.927,0
-97.399,0
-39.265,0
-97.404,0
-25.849,0
-45.528,0
6.347,0
-92.924,0
-50.898,0
-78.617,0
-12.434,0
-63.418,0
-12.430,0
-87.564,0
-16.904,0
0.088,0
-88.454,0
10.821,0
-16.012,0
-17.799,0
-92.031,0
-12.432,0
-8.854,0
-105.446,0
-80.406,0
-46.428,0
